dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
11.8,-0.92,8.84,5.56,False
1.93,-3.77,13.82,0.43,False
9.96,0.0,3.47,-1.02,False
4.34,-0.25,5.68,3.72,False
0.09,-2.82,10.52,0.21,False
3.76,-3.62,13.07,2.15,False
4.34,-1.63,9.83,0.36,False
4.11,-3.62,12.16,1.44,False
4.54,-1.24,8.96,2.63,False
4.54,-1.24,8.97,2.54,False
0.98,-4.29,6.44,-2.02,False
0.09,-2.82,10.52,0.21,False
0.09,-4.95,6.75,4.07,False
4.83,-2.91,9.94,0.39,False
7.09,-2.1,3.76,-2.14,False
4.68,-0.31,1.07,2.33,False
11.48,-0.07,2.31,-5.83,False
9.98,-0.06,5.49,-3.83,False
4.81,-0.26,1.02,2.35,False
0.87,1.29,-0.55,-9.99,False
11.48,-0.07,2.31,-5.83,False
1.88,-4.01,8.82,-5.3,False
4.64,-2.56,9.96,0.65,False
8.71,-1.91,6.57,-3.76,False
4.64,-2.5,9.82,0.44,False
4.03,-1.82,5.82,-6.38,False
4.23,-2.09,6.2,-6.32,False
0.08,-5.1,6.36,4.63,False
7.48,-1.69,3.35,-2.88,False
14.09,-3.02,8.9,-5.52,False
0.09,-3.81,5.36,1.39,False
8.05,-2.79,7.05,-4.01,False
2.87,-2.03,8.7,-2.34,False
0.09,-4.21,5.02,3.26,False
17.5,-4.0,11.26,-4.55,False
0.1,-3.06,8.52,-4.43,False
2.95,-0.61,0.81,2.39,False
3.12,2.28,1.6,0.8,False
3.08,0.38,1.75,0.93,False
0.72,-5.37,7.24,3.65,False
5.15,-1.66,8.24,-4.24,False
3.26,-2.26,8.63,-2.49,False
3.06,-2.04,8.92,-2.27,False
2.87,-2.12,10.92,-1.64,False
3.26,-2.24,10.11,0.73,False
0.57,-3.86,5.17,1.14,False
0.1,-3.2,12.41,4.34,False
10.07,-0.47,3.08,-5.5,False
6.92,-1.69,3.35,-2.85,False
0.35,-5.38,7.26,3.44,False
1.39,-4.24,4.13,-0.06,False
4.99,-1.66,8.2,-4.3,False
3.26,-2.5,10.06,0.48,False
0.1,-3.06,8.82,-4.44,False
3.09,-5.09,6.27,2.24,False
3.06,-2.5,10.02,0.46,False
2.78,0.93,1.72,0.96,False
0.08,-3.22,12.23,4.9,False
4.44,-2.03,8.51,-2.34,False
3.87,-0.23,0.97,2.35,False
0.27,-2.77,12.0,3.89,False
0.09,-5.66,6.45,4.59,False
0.08,-3.46,4.15,-0.26,False
4.27,1.48,3.44,-1.16,False
4.24,-2.11,10.87,-1.63,False
4.13,2.02,1.84,0.82,False
1.92,-5.29,7.11,4.48,False
10.46,-2.98,12.95,-0.04,False
8.09,-0.41,5.12,-0.35,False
4.01,0.33,3.42,-1.1,False
0.1,-3.2,12.41,4.34,False
3.42,-3.81,11.95,1.2,False
3.95,-0.28,4.54,6.83,False
0.05,-2.47,5.08,0.3,False
4.27,1.48,3.44,-1.16,False
3.85,-2.19,10.99,-1.6,False
2.52,-5.05,4.92,1.53,False
2.82,-2.31,3.84,-4.64,False
4.73,-0.25,5.84,3.83,False
5.75,-0.31,1.35,2.2,False
6.94,0.02,3.73,-1.18,False
9.56,0.0,3.49,-1.03,False
8.74,-2.98,12.7,0.0,False
0.09,-3.88,12.07,0.44,False
5.08,-2.45,7.27,-2.64,False
