dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
0.08,-1.81,4.11,-0.86,True
5.43,-2.95,13.01,0.27,True
0.09,-2.13,10.45,-1.24,True
5.43,-2.95,13.01,0.27,True
5.43,-2.95,13.01,0.27,True
5.43,-2.95,13.01,0.27,True
5.43,-2.95,13.01,0.27,True
5.43,-2.95,13.01,0.27,True
5.43,-2.95,13.01,0.27,True
4.34,-1.63,9.81,0.08,True
4.34,-1.63,9.81,0.08,True
4.34,-1.63,9.81,0.08,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
4.34,-1.63,9.81,0.08,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.47,-2.11,10.48,-1.24,True
0.08,-1.81,4.11,-0.86,True
0.28,-2.12,10.46,-1.24,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.09,-2.5,5.13,0.34,True
10.07,-2.96,17.63,3.24,True
10.07,-2.96,17.63,3.24,True
10.07,-2.96,17.63,3.24,True
5.18,-3.96,9.28,-5.18,True
1.04,-5.34,7.21,3.86,True
5.32,-3.88,10.52,-1.16,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
5.72,-0.26,5.95,3.78,True
5.32,-0.26,5.89,3.78,True
5.72,-0.26,5.95,3.78,True
5.13,-0.25,5.86,3.78,True
5.13,-2.39,14.7,2.17,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
0.08,-1.81,4.11,-0.86,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
5.49,-2.38,14.79,2.17,True
8.85,-0.05,5.05,-0.95,True
8.65,-0.06,5.05,-0.95,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
0.09,-5.06,6.89,3.86,True
0.09,-5.06,6.89,3.86,True
1.61,-3.96,11.69,-1.14,True
0.09,-5.06,6.89,3.86,True
0.09,-5.06,6.89,3.86,True
0.09,-5.06,6.89,3.86,True
0.09,-5.06,6.89,3.86,True
5.43,-2.95,13.01,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.13,-2.39,14.7,2.17,True
8.52,-2.46,8.15,-2.27,True
5.18,-3.96,9.28,-5.18,True
5.18,-3.96,9.28,-5.18,True
8.85,-0.05,5.05,-0.95,True
5.18,-3.96,9.28,-5.18,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
5.18,-3.96,9.28,-5.18,True
5.18,-3.96,9.28,-5.18,True
1.04,-5.34,7.21,3.86,True
5.18,-3.96,9.28,-5.18,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
3.65,-1.95,4.34,-1.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
3.64,-2.08,6.1,-6.37,True
3.64,-2.08,6.1,-6.37,True
1.04,-5.34,7.21,3.86,True
3.37,-1.68,9.85,-0.23,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
4.69,-1.63,3.07,-3.08,True
6.62,-2.96,13.37,0.27,True
6.62,-2.96,13.37,0.27,True
6.62,-2.96,13.37,0.27,True
3.94,-1.97,4.36,-1.41,True
6.64,-3.93,8.79,-5.17,True
4.65,-2.0,4.42,-1.35,True
3.34,-3.98,8.33,-5.29,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.04,-2.94,12.89,0.27,True
5.43,-2.95,13.01,0.27,True
2.47,-2.91,12.09,0.31,True
1.68,-2.9,11.83,0.31,True
1.29,-2.89,11.71,0.31,True
1.68,-2.9,11.83,0.31,True
3.18,-2.46,6.42,-3.56,True
5.67,-4.25,6.45,-2.08,True
10.64,-1.59,9.45,0.08,True
0.08,-2.39,4.97,0.19,True
0.08,-2.39,4.97,0.19,True
2.89,-4.1,4.18,0.45,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
7.02,-2.96,13.48,0.27,True
0.09,-2.13,10.45,-1.24,True
0.09,-2.13,10.45,-1.24,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
5.32,-3.88,10.52,-1.16,True
5.32,-3.88,10.52,-1.16,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
6.4,-3.95,9.01,-4.92,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
3.18,-2.01,4.41,-1.37,True
5.28,-4.21,6.44,-2.08,True
12.06,-0.53,7.21,3.24,True
5.28,-4.21,6.44,-2.08,True
5.28,-4.21,6.44,-2.08,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
9.87,-2.96,17.63,3.24,True
5.5,-1.7,4.15,-0.85,True
5.47,-1.81,4.3,-0.64,True
